name,address,zip_code,city,state,latitude,longitude,ratings
Clearwater Bagels,1871 Gulf To Bay Blvd,33765,Clearwater,FL,27.9603225,-82.7598496,3.5
Clearwater Beach Marriott Suites on Sand Key,1201 Gulf Boulevard,33767,Clearwater Beach,FL,27.95336154,-82.82825589,3.5
Cool Vibes Bar & Grill,5488 58th St N,33709,Saint Petersburg,FL,27.8220898,-82.7125822,3.5
Courigan's Irish Pub,"1 Beach Dr SE, Ste 41",33701,Saint Petersburg,FL,27.7708192,-82.6335305,3.5
Crab Shack Restaurant,11400 Gandy Blvd N,33702,Saint Petersburg,FL,27.8697602,-82.6162438,3.5
Crabby's Bar & Grill,333 S Gulfview Blvd,33767,Clearwater Beach,FL,27.97210338,-82.82927039,3.5
Cracker Barrel Old Country Store,2151 54th Ave N,33714,Saint Petersburg,FL,27.8217731,-82.6626549,3.5
Cuban Mexican Restaurant,4016 Ulmerton Rd,33762,Clearwater,FL,27.89318,-82.688496,3.5
Culver's,2008 Gulf To Bay Blvd,33765,Clearwater,FL,27.96100044,-82.7542038,3.5
Dairy Inn,1201 Dr Martin Luther King Jr St N,33701,Saint Petersburg,FL,27.784012,-82.6465085,3.5
Ferg's Sports Bar & Grill,1320 Central Ave,33705,Saint Petersburg,FL,27.770871,-82.652212,3.5
Fresh Bowl Grill,2657 Ulmerton Rd,33762,Clearwater,FL,27.89456635,-82.66931106,3.5
Gorditas Don Huicho,2071 Drew St,33765,Clearwater,FL,27.9674825,-82.7516337,3.5
Ha Long Bay,5944 34th St N,33714,Saint Petersburg,FL,27.82757009,-82.67993913,3.5
Habibi Lounge,400 34th St N,33713,Saint Petersburg,FL,27.77573262,-82.67968103,3.5
Honey Baked Ham Company,23310 US Hwy 19 N,33765,Clearwater,FL,27.9849066,-82.7304573,3.5
Hong Kong City,2198 NE Coachman Rd,33765,Clearwater,FL,27.9724802,-82.74669,3.5
Hong Kong Restaurant,1077 62nd Ave S,33705,Saint Petersburg,FL,27.7129149,-82.649,3.5
Hooks Sushi Bar & Thai Food,1210 9th St N,33705,Saint Petersburg,FL,27.7837466,-82.6468773,3.5
Island Way Grill,20 Island Way,33767,Clearwater,FL,27.9762783,-82.817396,3.5
Jason's Deli,"25801 US Highway 19 N, Ste 110",33763,Clearwater,FL,28.0064542,-82.7286541,3.5
Johnny's Italian Restaurant,"2907 State Road 590, Ste 1",33759,Clearwater,FL,27.9822,-82.7167155,3.5
Kilwins Clearwater Beach,391 Mandalay Ave,33767,Clearwater,FL,27.9782439,-82.8271612,3.5
Krispy Krab Clearwater ,1423 Betty Ln N,33755,Clearwater,FL,27.91830146,-82.74642268,3.5
LongHorn Steakhouse,2400 Tyrone Blvd N,33710,Saint Petersburg,FL,27.79332418,-82.73034294,3.5
Luekens Wine & Spirits,23025 US 19 N,33759,Clearwater,FL,27.98303045,-82.72910459,3.5
Mainstay Tavern,1160 Gulf Blvd,33767,Clearwater,FL,27.95556916,-82.8287486,3.5
Marble Slab Creamery,"27001 U S 19 N, Ste 2070",33761,Clearwater,FL,28.017071,-82.734628,3.5
Mastry's Bait & Tackle,1700 4th St S,33701,Saint Petersburg,FL,27.753527,-82.6383105,3.5
